"","klasifikasi","score","text"
"527","Negatif",-1," bravob berita nggusuran ksa wadas a bwrita nguncian exit gat "
"528","Negatif",-3,"raharjo klo dgn nyuka boken rusak lingkungan  wadas  yg berakal sehat sia yg dungu sia dungu "
"529","Negatif",-1," kalo vet swasta berat bawa ke puskeswan nderbiayanya jauh lebih murahkalo kamu masih semangat mengnya jug"
"530","Netral",0," jatim merangkak terus tragedi kanjuruhanusuttuntastragedikanjuruhan "
"531","Negatif",-1," gak nya k ta saya nya ti bagaimana merawat dan menjaga lingkungan di wadas "
"532","Netral",0," saran saya sebaiknya bak rawat dulu warga wadas yg kini hiduya terancam akibat ulah bak mengeluarkan izin"
"533","Negatif",-1,"rdeeone warga wadas udah d duit banyak lu gak kebagian ya  "
"534","Negatif",-1,"salah sndiri dikira fans eljibiti  abis situ tamngnya emang s dukung acdckadrun dijebak prankgbk tr "
"535","Netral",0," hellowww gimana dengan case wadas bukannya ada unsur ngaruh oligarki"
"536","Negatif",-1,"komisi iii dpr ri beri jian ganjar selesaikan konflik di wadas ganjaranowo ganjaranowo "
"537","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"538","Negatif",-1," ttg wadas kndia tdk terjun langsung berkomunikasi dg warga dan tegas mnyelesaikan masalah"
"539","Negatif",-1,"ganjar rambut e tih kabeh ta ora o rakyat terhadakasus kendeng wadas   "
"540","Netral",0," sekedar tahu saja ternyata nyokongnya si raffi ahmad boykot ajalah segala aktivitas dia itu baik di tivi maun di yo"
"541","Negatif",-1," marm halah ngajak temr diajak ngo berani ga ente  "
"542","Netral",0," alfatihah buat almarhum hm suharto  "
"543","Positif",1," tadi semt terheran sebab gorengan masuk ttisemakin heran sebab setelah aaya cek yg muncul hanya gambar betis tidak"
"544","Netral",0," menga kita harus tolakruuomnibuslawkesehatan ini alasannya menga kita harus tolakruukesehatanomnibuslaw insya"
"545","Positif",1," nusantara ruwet xgt menra larang gunakan gbkgt peserta terti krn mengira istighosahacara nugt bis serta bikin macetgt ger"
"546","Netral",0," rhamdani ri akah betul ini orangnya yang mau rang atau ngajak rang dilangan"
"547","Negatif",-1," kelen setuju orang ini disebut ovokator "
"548","Negatif",-2," weleh weleeh mas mas ngomong aan siyh kayak mau rang aja di otaknya yg berbeda itu adalah lawan pak jokowi itu"
"549","Netral",0," hr setuju fans jerman harusnya juga sak usoal mbunuhan km cikamk marsinah korba"
"550","Negatif",-1," nn orang rtai official  "
"551","Netral",0," menunjuk hidungnya sendiri jabatan yg ia roleh adalah buah dari politik identitas "
"552","Positif",1," selamat gi pak heru sehat "
"553","Negatif",-1," tidak belajar kah dari kasus sang kaisar sambo kenikan lah yang menghancurkan segalanya bila menghada masamasa akhir j"
"554","Negatif",-2," inilah yg terjadi di cianjur yg dialami sebagian masyarakat ini kata mereka yg datang ya sdh kita gak rlu surat gak r"
"555","Negatif",-1," et dah am segininya ngeri"
"556","Netral",0," sia nitia acara di gbk kemarinini diaaseli ngakuan sendiri "
"557","Netral",0," iyo wis unggulungguldah lngsung di lantik skrang aj gak annti klo nunggu  nyungselg malahjawa tng"
"558","Negatif",-1,"koki tweet duh ayo dong denwadas kendeng dan yang inijangan takut sama elite  "
"559","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"560","Positif",2," salurkan bantuan jg ke wadas "
"561","Netral",0," tiba ingat wadas"
"562","Negatif",-1," kasus ektadas gmnkq sehabet kamu mah k cs sama ri nya"
"563","Negatif",-1," ko rambutnya hitam kata pak yang rambutny tih mikirin rakyat hahahahafaktnya kwadas "
"564","Positif",1," kurangi citra mu den urus wadas bikin rubahan utk jateng lebih baik"
"565","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"566","Negatif",-2," lah wadas yg dekat saja ga nting kok a lagi cianjur"
"567","Netral",0," lu yang diingat cuma wadas doang mamrlah kesini ini di jateng juga "
"568","Negatif",-2," kl lihat wajah b ini aku langsung keingatan saudaraku didesa wadas ngukur tanah yg dibawa bkn meteran tarat lisi"
"569","Negatif",-1," ganjar itu bangsat banyak kebijakannya selama  iode jadi gubernur jateng sangat merugikan rakyat yg "
"570","Netral",0," rakyat wadas udah di rangkul ati bloom"
"571","Negatif",-1," tanjung momen snduk wadas melawan muncul di arena pembukaan muktamar muhammadiyah ke di stadion manahan solo sabtu  novem"
"572","Netral",0," tweet pt rum wadas gimana wadas rakyat berontak aja mal "
"573","Netral",0," ingat wadas mikir rakyat dari ethioa"
"574","Negatif",-1," tweet tuanku ya rakyat gubernur cuma mandat  pt rum kendeng wa"
"575","Negatif",-2,"tweet mas tegur juga si soal wadas dan masalah kemiskinan makasih"
"576","Netral",0," iyo wis unggulungguldah lngsung di lantik skrang aj gak annti klo nunggu  nyungselg mal "
"577","Negatif",-2," koki saif tweet di otakmu hanya ada kebencian jadi ga bisa berkir wadas "
"578","Netral",0," mosok sih coba saya tanya ma warga kendeng n warga wadas"
"579","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadas ganjaranowoganjaranowoganjarkita "
"580","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadas ganjaranowoganjaranowoganjarkita "
"581","Netral",0," udah kek wadas di cukur"
"582","Negatif",-1," tweet tuanku ya rakyat gubernur cuma mandat  pt rum kendeng wa"
"583","Positif",1," nich lagimasih jabat sebagai gubernursibuk coas caes ajamasalah rakyat jawa tengah wadas dllterduga ter"
"584","Negatif",-2,"wadas aja kaga dikirin gimana mau mikirin rakyat  juta jiwa mim a ya "
"585","Positif",1,"jawa nek ng kali ngedrive ngene ki ancur nabrak watu wadas "
"586","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"587","Negatif",-3," smrc survey bayaran dan pesanan yang di survey masyarakat semarang coba masyarakat wadas atau buki "
"588","Negatif",-1," tweet tuanku ya rakyat gubernur cuma mandat  pt rum ken "
"589","Netral",0," wadas njar"
"590","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"591","Netral",0," salam desa wadas"
"592","Negatif",-2," survey bayaran yang di survey orang semarang coba survey orang wadas  tidak akan pilih ganjar "
"593","Netral",0," cobaa tanya warga wadas k"
"594","Negatif",-5," rambut tih wajah berkerut mikirin rakyat yang ada juga rambut tih ketiban batu wadas wajah berk "
"595","Netral",0,"klu ini lah tokoh yg kata jokowi krn mikirin rakyat shg rambut putih kening berkeruthrs nya jateng jadi daerah mak "
"596","Netral",0," ganjar kagak lakuuu ingat kasus wadas ingat ektp bong"
"597","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"598","Netral",0,"yg ada di kiran saye kok wadas wadas wadas "
"599","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"600","Positif",1,"  wadas memanggil"
"601","Positif",1,"ti menyelesaikan masalah wadas yang harusnya ditanya "
"602","Netral",0," wadas urusin"
"603","Negatif",-1," peduli  tengoklah wadas wadas sekali lagi wadas dah ini saja dulu"
"604","Netral",0,"resei di wadas bener purworejo gayjogja gayjogjakarta "
"605","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"606","Netral",0," merakyat serti rakyatnya di wadas lintang "
"607","Negatif",-2,"ron bacot nya tolong dijaga gubernur jateng ngurus rakyat nya aja ga becus tuh liat warga w "
"608","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"609","Negatif",-2,"rdeeone rakyat wadas udah berbahagia bosketinggalan berita ya"
"610","Positif",1," setidaknya reuni  tidak lagi dat dihalangai dengan adanya ngumlan massa di gbk oleh jokowiayo kita ramaik"
"611","Netral",0," yah thn  masih kek gini eh sekarang ngaku kebaya warisan leluhurnya  "
"612","Negatif",-4," joko rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiskin htt"
"613","Negatif",-1," one mafia tambang nikel zaman jokowitambang wadas zaman jokowi hadeuhhh one buzzer dongo"
"614","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"615","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"616","Negatif",-1," mikir rakyat dari hongkong ingat kendeng dan wadas"
"617","Netral",0," turun ke bawah bak sudah rnah ke wadas belum melawan"
"618","Positif",1,"hommh alaium gambrengayo mulaipermainan chai chaisia yg tangkas yg tuakalahketangkasan ber ku "
"619","Negatif",-1," nusa kendeng wadas dan masih lagi gak rnah dirhatikan"
"620","Negatif",-1," yg dukung mukidi dan jelas rambutnya hitam tanda bacot yg kerja hasilnya kaga adyg didukung den bok "
"621","Positif",1,"roemah ogah amat thn jawa tengah a yang dibuy oleh den kamng wadas saja tak di duliin"
"622","Netral",0,"fadillah wadas a kabar"
"623","Negatif",-2," rambut tih itu bukan karna memikir kan rakyat ta karna hobby nonton bokebukti nya kalau memikir "
"624","Netral",0," l di gbk kemarendari  ribu menjadidobel ngibul "
"625","Negatif",-1," ibu pengajian pun kalian ti memang parah kalian ini "
"626","Netral",0," yah gw mikirin koreng loe bu  bahas si mah cuma samngan aja  nih gw bantu infokan obatnya bu "
"627","Netral",0," katanya sangat dicintai rakyat sami ada sinetron terobos rombongan survei keasan tinggigiliran ngumlin massa aja"
"628","Negatif",-1," nusa kendeng wadas dan masih lagi gak rnah dirhatikan"
"629","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"630","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"631","Negatif",-3,"laksono yg sti dan tidakbisa dingkiri rambut tih  urusan tanah wadas banyak daerahnya termiski "
"632","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"633","Netral",0,"saewad kamng wadas di kirin gak"
"634","Negatif",-2," darida acara yg tidak bermutu bantu cianjur yg sedang gem mmg dg acara ini akan lih yang ubanan "
"635","Negatif",-1," suruh tanya warga wadas melawan"
"636","Positif",1," aksi wadas"
"637","Netral",0," ini berita kan ujuga dong warga wadas yg udah kaya raya terima ganti untung "
"638","Netral",0,"nia proyek wadasganjar kemana"
"639","Negatif",-1,"iya alagi wadas ya "
"640","Netral",0,"ingat wadas "
"641","Netral",0,"ingat wadas "
"642","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"643","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"644","Positif",2," caes b o n e k a yg rambutnya putih yg di danai oleh oligarki rakyat hanya sebagai objek contoh kasus "
"645","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"646","Negatif",-5," merams tanah masyarakat juga termasuk tindakan radikal dan sesuatu yang tak bisa ditoleransi an "
"647","Netral",0," ga nya estasi disuruh lih kemauan sia yang dibawa kasus wadas gimana"
"648","Negatif",-1," cool biar d simak sendiri bkm kadrun yg ngomong ya "
"649","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"650","Negatif",-2,"nih gw kasih data valid ya bosmau bantah ya bantah sono sm bg trimed "
"651","Netral",0,"lu mau otes sm trimed sono bong "
"652","Negatif",-2," baca bong sami tuntas ya"
"653","Netral",0," masa sih anies hanya jateng jatim bali ntt dan paa sisa nya  anis menangmenang disalahkan "
"654","Negatif",-2," rambut tih karena stress wadas"
"655","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"656","Negatif",-1," sok lah wadas gimana tuh"
"657","Negatif",-1," bener wadas juga gaditanggen sama anda"
"658","Negatif",-1," kalo vet swasta berat bawa ke puskeswan nderbiayanya jauh lebih murahkalo kamu masih semangat mengnya jug"
"659","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"660","Netral",0,"terutama karena mikirin wadas "
"661","Negatif",-2," rambut tih mikirin rakyat  kendeng wadas kami menolak lu kinerja ganjar mulai bagus sejak masuk sur "
"662","Netral",0," a kabar wadasa kabar sayung demaka kabar banjir rob a kabartambahinguys"
"663","Netral",0,"ulosowo alagi warga wadas"
"664","Netral",0," ingat wadas ingat ganjar pranowoyang terams di wadas merams tanah surga bumi wadas dengan dalil proyek strategis n"
"665","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"666","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"667","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"668","Negatif",-3,"rambut tih bukan terlalu sering nonton bokedan makan duit ektp ta mikirin rakyat wadas dan ovinsi termiski "
"669","Netral",0," katanya revolusi mental ta bikin acara cuma menghasilkan samh dasar mental samh  "
"670","Netral",0," maaf saya belum rnah dengar dr esiden manan  orasi dng kuwlitas narasi serendah ini soal kemaman bhs inggr"
"671","Negatif",-2," teriak sembari nunjuk orang lain jalankan litik identitaseh mau acara judul silaturami relawan saja ngibulin kelomk"
"672","Netral",0," samosir bilang jangan bawabawa politik identitas ta yg di nggil ibuibu ngajian setelah sami di sta"
"673","Negatif",-2," benerbener gak nya rasaan dan emti laknatullah penguasa yg dzalim dan ra ngikutnya h"
"674","Negatif",-1," waras rakyat bisa menilai "
"675","Netral",0,"  kwangsan imr itu menguntungkan jabat negara secara cet yang sesuai aturan resmi saja hak n"
"676","Positif",1," kwangsan ini bisa jadi tret negara yg tidak mau menghargai ahlinemu tehnologi anak bangsaakhirnya hak tenya di jual ke j"
"677","Negatif",-1," untuk temanteman yang di jakarta mohon ntauannya saya kehilangan se sayanamanya anisa eka ratna siwiumur  tahu"
"678","Negatif",-3," marm rambut putih kening berkerut dan kerit ciriciri mimn yang mikirin rakyatbukan gue yg ngomong "
"679","Negatif",-3," jangankan cuma soal kerutan dan rambut tih yang mereka bilang harus dihamiacara kuml itu aja acara ling tolol dari"
"680","Negatif",-1," yah kan kata jokowi klu rambut tih tanda mikiran rakyat t si kan rambutnya hitam  kira yg dia kirkan aan sih"
"681","Negatif",-1," laksono  jangan lih mimn yang senang duduk di istana yang acnya dingin nyindir wakilnya pilih mimn yang mener"
"682","Positif",1," didu dengan terbukanya bhw ketua pelaksana acara relawan di gbk yg dirkirakan habiskan dana sktr r milyar adlh ketum kadi"
"683","Negatif",-2," para korban bencana di cianjur terlebih di wadas diterlantarkan demi gelar hurahura dukung s "
"684","Positif",1," yah bilangin bak loe mas tweet ada yg bilang anjeng nih gegara ke gbk yg seharusnya steril mq"
"685","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"686","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"687","Netral",0,"a mikirin rakyat desa wadas yg tidak mau di gusur"
"688","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"689","Negatif",-1," rambut sami memutih memikirkan wadas belajar aerobik memahami insrasi dari bokedll "
"690","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"691","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"692","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"693","Negatif",-1," kalo vet swasta berat bawa ke puskeswan nderbiayanya jauh lebih murahkalo kamu masih semangat "
"694","Netral",0," ganjar mah mikirin wadas"
"695","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"696","Netral",0," maqom syekh quro di wadas lau kela karawang"
"697","Negatif",-1,"marm ektp dan wadas a kabar"
"698","Negatif",-1,"dumdum ektp dan wadas a kabar"
"699","Netral",0," biar dia fokus selesaikan kasus ektp dan wadas dulu"
"700","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"701","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"702","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"703","Negatif",-2," mungkin maksudnya mikirin agar rakyatnya tambah susah serti kasus wadas"
"704","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"705","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"706","Negatif",-1," menggunakan uang negara cuma buat kamnye si rambut tih sang peng rusak wadas am kendeng"
"707","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"708","Netral",0," memikirkan rakyat a loe kate k dengurus wadas aja g cusss"
"709","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"710","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik wadasganjaranowoganjaranowoganjarkita "
"711","Netral",0," masuk wadas adanya di demo ntar wkw"
"712","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"713","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadas ganjaranowoganjaranowoganjarkita "
"714","Netral",0,"oe fakta nya begitu ganjar tan estasi nindas wadas nindas kendeng ngono aremimn ra masokkkkkkk"
"715","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"716","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"717","Negatif",-1," untuk mengkamnyekan rambut tih habiskan  milyaryang datang katanya kena prankbilang mau acara s "
"718","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"719","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"720","Netral",0," mar komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkitaganjaruntukin"
"721","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"722","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"723","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"724","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"725","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"726","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"727","Netral",0,"komisi iii dpr ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"728","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"729","Negatif",-2,"roemah ini rambut memutih karena banyak nonton vidio bokebukan banyak kir rakyatbuktinya urusan wadas "
"730","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"731","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"732","Netral",0,"komisi iii dor ri beri pujian ganjar selesaikan konflik di wadasganjaranowoganjaranowoganjarkita "
"733","Negatif",-1," tolak keras capres oligargi wadas melawan"
"734","Positif",1," bis yg bekas membawa rombongan ke gbkdi acara ngarahan esiden untuk memilih calon presidenjuga ada yg bawa s"
"735","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"736","Negatif",-2," usir dari nkritdk butuh para pengkhianat wadas fakta perampokan tanah rakyat "
"737","Negatif",-1," rambut sami memutih memikirkan wadas belajar aerobik memahami insrasi dari bokedll "
"738","Negatif",-2,"waktu warga kamng akuarium bukit duri digusur otes warga kendeng utara ramsan tanah di wadas dirimu itu "
"739","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"740","Negatif",-1," ciri orang memikirkan rambut tih banyak kerutan di wajahwarga wadas tdk di kirkan video s "
"741","Netral",0,"dumdum kebanyakan bokeus nindas wadas"
"742","Negatif",-1," buktinya wadas bermasalah"
"743","Negatif",-1," samosir melawan katanya miliuner benarkah"
"744","Negatif",-1," yang jelas bukan kasus di wadas kan hehe"
"745","Negatif",-4,"afr mangat bisa twitter an ta malas browsing dan baca ya kayak kamu"
"746","Negatif",-1," lah  sama desa wadas aja dia gak duli kok pea"
"747","Netral",0,"parameter kinerja ganjar sebenarnya bisa dilihat dari kasus wadas dan kendeng dari situ kelihatan akah ganjar mi "
"748","Netral",0,"ga nya estasi disuruh lih kemauan sia yang dibawa kasus wadas gimana "
"749","Negatif",-1,"rambut sami memutih memikirkan wadas belajar aerobik memahami insrasi dari bokedll "
"750","Negatif",-1," mikirin rakyat ye cek jateng jadi otermiskin di lau jawa kasus wadas belum tuntas banjir dan banjir se"
"751","Netral",0,"mangat ta rakyat wadas gimana nasibnya"
"752","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"753","Netral",0,"ektwoiy b jateng woiy ilang tuch r  rmwadas woiy langgaran ham "
"754","Negatif",-1," mikirin rakyat ye cek jateng jadi otermiskin di lau jawa kasus wadas belum tuntas banjir dan banjir senjang pantura"
"755","Positif",1," wadas urusan dulu"
"756","Negatif",-1," tau maunya rakyat kemarin rencana harga bbm dinaikkan ditolak rakyat ta tetasaja dinaikkan omnibus l "
"757","Positif",1," bis yg bekas membawa rombongan ke gbkdi acara ngarahan esiden untuk memilih calon presidenjuga ada yg bawa s"
"758","Netral",0," sangat wadas jd ingat jokowi awal dulu banyak orang tersona dg gaya nya membela rakyatta "
"759","Positif",1,"bis yg bekas membawa rombongan ke gbkdi acara ngarahan esiden untuk memilih calon presidenjuga ada yg bawa "
"760","Negatif",-2," sia lagi yang berambut tih dan berdahi berkerut itu ganjar pranowodi mana estasi nya ganjar ini "
"761","Negatif",-2," wadas saja blm selesai"
"762","Negatif",-2,"id yabg rambutnya tih mikirin rakyat sami keblowok wadas yang rambutnya hitam mikirin udelnya sendiri susah dircaya"
"763","Negatif",-2," mungkin ubanan karena kebanyakan nonton boketa hasratnya tak tersalurkan kerjanya menyengsarakan rakyat khusunya wadas"
"764","Negatif",-1,"yg rambutnya bnyk ubanan tuh tetangga yg bikin derita rakyat wadas yagenot disel underbay   "
"765","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"766","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"767","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"768","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"769","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"770","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"771","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"772","Negatif",-1," marm itu sia serius nanya prestasinya ahahahaklo wadas sy tauwkwkwkwk"
"773","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"774","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"775","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"776","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"777","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"778","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"779","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"780","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"781","Netral",0," wadas aja dicuekin "
"782","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"783","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"784","Netral",0," telekyg ada rambut tih malah nyusahin rakyat wadas aja lah jd contoh kecilnyaalagi klo yg model onga on"
"785","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"786","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"787","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"788","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"789","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"790","Negatif",-1," mikirkan oligarki soale sudah menindas wadas"
"791","Positif",1," mikirin rakyat darimana wong lebih seneng mamr ke konten youtuber dr mikirin wadas"
"792","Netral",0," kalo mau nyaesdesa wadas diurus dulubagaimana urus negara kalo cuma soal wadas tak beres "
